title,degrees,funds,date,location
Schaefer Halleen’s Social Equity Scholarship,"Master, Bachelor, Phd",$1000,30-Jun-22,united-states
President’s Scholarship for Ukraine,"Master, Bachelor, Phd, Course",$2500,31-Jul-22,united-states
International Students Diversity Contest 2022-2023,"Master, Bachelor, Phd, Course","Up to $2,000",22-Dec-22,united-states
Master in Business Administration 80% OFF your Tuition fee,Master,80% Tuition Fees,15-Sep-22,united-states
Improve Men’s Health Scholarship,"Master, Bachelor, Phd",$2000,31-May-22,united-states
3 Month F1 Visa Study English in USA Scholarship with Windsor University,Course,$1455,01-Jul-22,united-states
ArtUniverse,"Master, Course",Full or partial scholarship,30-Dec-22,united-states
American Indian Scholarships at Augsburg University,Bachelor,Partial tuition fees,01-Dec-22,united-states
International Contest for Students Support 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",28-Apr-23,united-states
Scholarships for Africa,"Master, Bachelor, Phd, Course",$100 to $3000,24-Mar-27,united-states
LAPTOP Scholarships - study Supply Chains,"Master, Bachelor, Phd, Course",up to $3000,06-May-22,united-states
Medicine: Fully Funded Swansea & HMRI PhD Scholarship: Ovarian Cancer Chemoresistance,Phd,Full cost of tuition fees and an annual stipend,06-May-22,united-states
New York University - September 11 Scholarships,"Master, Bachelor, Phd, Course",Pay any remaining balance.,30-Jun-23,united-states
TKS Full-Ride Scholarship,Course,"100% Tuition Fee [value of $6,000+]",31-May-22,united-states
Five scholarships of up to US$3000 for supply chain courses,"Master, Bachelor, Phd, Course",$3000,06-May-22,united-states
GREAT Scholarship for Bangladesh Students in UK,Master,"£10,000",31-May-22,united-kingdom
Diversity Scholarships for Africa and Latin American Students in UK,Master,50% scholarship,31-May-22,united-kingdom
Beth Mead Scholarships for International Students at Teesside University,"Bachelor, Master","£1,200",31-Aug-22,united-kingdom
Malaysia Scholarships at Nottingham Trent University,Master,"£4,000",29-Jun-22,united-kingdom
PhD Studentships in Predictive Uncertainty in Computer Vision for International Students in UK,Master,"£16,062 p.a., tuition fees + £2,000 research grant",10-Jun-22,united-kingdom
Strathclyde Business School MRes Scholarships in UK,Master,Tuition fees,,united-kingdom
International Students Diversity Contest 2022-2023,"Master, Bachelor, Phd, Course","Up to $2,000",22-Dec-22,united-kingdom
Master in Business Administration 80% OFF your Tuition fee,Master,80% Tuition Fees,15-Sep-22,united-kingdom
3 Month F1 Visa Study English in USA Scholarship with Windsor University,Course,$1455,01-Jul-22,united-kingdom
ArtUniverse,"Master, Course",Full or partial scholarship,30-Dec-22,united-kingdom
Engineering: Fully Funded MSc by Research at Swansea: Functional Construction Materials,Master,Full cost of UK tuition fees and an annual stipend,27-May-22,united-kingdom
UEA Law School Country Specific Academic Excellence Scholarships in UK,Master,"£8,000 tuition fee reduction",31-May-22,united-kingdom
Saraswati Dalmia Scholarship at SOAS University of London,"Phd, Master","Up to £5,353",02-May-22,united-kingdom
The Professor Mike Walker OBE Scholarships for International Students in the UK,Master,"Up to £12,000 tuition fee reduction",11-Jul-22,united-kingdom
PhD Studentships in Electronic,Phd,,03-Dec-22,united-kingdom
International Students Diversity Contest 2022-2023,"Master, Bachelor, Phd, Course","Up to $2,000",22-Dec-22,canada
Master in Business Administration 80% OFF your Tuition fee,Master,80% Tuition Fees,15-Sep-22,canada
Improve Men’s Health Scholarship,"Master, Bachelor, Phd",$2000,31-May-22,canada
3 Month F1 Visa Study English in USA Scholarship with Windsor University,Course,$1455,01-Jul-22,canada
ArtUniverse,"Master, Course",Full or partial scholarship,30-Dec-22,canada
International Contest for Students Support 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",28-Apr-23,canada
Scholarships for Africa,"Master, Bachelor, Phd, Course",$100 to $3000,24-Mar-27,canada
LAPTOP Scholarships - study Supply Chains,"Master, Bachelor, Phd, Course",up to $3000,06-May-22,canada
TKS Full-Ride Scholarship,Course,"100% Tuition Fee [value of $6,000+]",31-May-22,canada
Five scholarships of up to US$3000 for supply chain courses,"Master, Bachelor, Phd, Course",$3000,06-May-22,canada
International No-Essay Support Competition Scholarships 2022-2023,"Master, Bachelor, Course","Up to $2,000",20-Jan-23,canada
THGM MUSE Scholarship,Bachelor,US$500 or C$630,15-May-22,canada
Master in Business Administration 80% OFF your Tuition fee - Scholarship,Master,80% off tuition fee,15-May-22,canada
International Students Support Contest 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",30-Jun-23,canada
Human Resource (HR) - Free Course From Windsor University's MBA,"Master, Course",100% free,14-May-22,canada
International Students Diversity Contest 2022-2023,"Master, Bachelor, Phd, Course","Up to $2,000",22-Dec-22,europe
Master in Business Administration 80% OFF your Tuition fee,Master,80% Tuition Fees,15-Sep-22,europe
3 Month F1 Visa Study English in USA Scholarship with Windsor University,Course,$1455,01-Jul-22,europe
ArtUniverse,"Master, Course",Full or partial scholarship,30-Dec-22,europe
International Contest for Students Support 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",28-Apr-23,europe
Scholarships for Africa,"Master, Bachelor, Phd, Course",$100 to $3000,24-Mar-27,europe
LAPTOP Scholarships - study Supply Chains,"Master, Bachelor, Phd, Course",up to $3000,06-May-22,europe
TKS Full-Ride Scholarship,Course,"100% Tuition Fee [value of $6,000+]",31-May-22,europe
Five scholarships of up to US$3000 for supply chain courses,"Master, Bachelor, Phd, Course",$3000,06-May-22,europe
International No-Essay Support Competition Scholarships 2022-2023,"Master, Bachelor, Course","Up to $2,000",20-Jan-23,europe
THGM MUSE Scholarship,Bachelor,US$500 or C$630,15-May-22,europe
Master in Business Administration 80% OFF your Tuition fee - Scholarship,Master,80% off tuition fee,15-May-22,europe
International Students Support Contest 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",30-Jun-23,europe
Becas Grisart 2022,Course,Take the courses free of charge.,25-May-22,europe
Human Resource (HR) - Free Course From Windsor University's MBA,"Master, Course",100% free,14-May-22,europe
International Students Diversity Contest 2022-2023,"Master, Bachelor, Phd, Course","Up to $2,000",22-Dec-22,south-africa
Master in Business Administration 80% OFF your Tuition fee,Master,80% Tuition Fees,15-Sep-22,south-africa
3 Month F1 Visa Study English in USA Scholarship with Windsor University,Course,$1455,01-Jul-22,south-africa
ArtUniverse,"Master, Course",Full or partial scholarship,30-Dec-22,south-africa
International Contest for Students Support 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",28-Apr-23,south-africa
Scholarships for Africa,"Master, Bachelor, Phd, Course",$100 to $3000,24-Mar-27,south-africa
LAPTOP Scholarships - study Supply Chains,"Master, Bachelor, Phd, Course",up to $3000,06-May-22,south-africa
TKS Full-Ride Scholarship,Course,"100% Tuition Fee [value of $6,000+]",31-May-22,south-africa
